CustomerID,Age,Gender,Income,Geography,Occupation,Phone,Email,LastUpdated
CUST0800,27,Female,40609,Spain,Fisheries officer,001-768-961-0128x777,michael89@mathis.net,2025-02-10 08:30:14.583967
CUST0801,47,Female,72130,Germany,"Scientist, physiological",6386208765,denise60@yahoo.com,2025-04-10 06:45:14.583989
CUST0802,67,Male,92909,France,Technical brewer,586.020.8060x82977,coxgina@yahoo.com,2025-03-16 04:27:14.584016
CUST0803,62,Male,75249,France,"Nurse, learning disability",+1-984-982-8025x11906,dillonnathan@dodson.com,2025-01-19 04:54:14.584038
CUST0804,22,Female,68895,Spain,Hotel manager,001-172-668-3802x683,seanpeters@ayala.com,2025-04-10 16:59:14.584064
CUST0805,50,Male,114473,Spain,Contracting civil engineer,(744)908-2850x22472,seangibson@yahoo.com,2025-02-28 15:52:14.584087
CUST0806,18,Male,25656,Germany,Professor Emeritus,+1-572-159-9399x11526,kendra85@nelson-anderson.com,2025-01-23 12:07:14.584104
CUST0807,35,Female,94520,Spain,"Nurse, adult",5171899299,linda83@gmail.com,2025-04-08 01:59:14.584119
CUST0808,49,Male,83740,France,Research scientist (physical sciences),001-592-020-4487,brockphilip@hotmail.com,2025-03-01 05:13:14.584135
CUST0809,64,Female,84309,Germany,"Physicist, medical",079.432.5563x48035,edward37@yahoo.com,2025-02-05 04:15:14.584154
CUST0810,66,Male,49984,France,Furniture conservator/restorer,001-827-082-3036x690,ryan61@chang.com,2025-03-24 02:36:14.584177
CUST0811,28,Female,93822,Germany,Clinical embryologist,(229)433-0581x6115,dianetorres@kirby-mcgee.info,2025-01-19 07:40:14.584193
CUST0812,38,Male,25901,Spain,"Engineer, agricultural",293-567-4743,marysmith@klein.info,2025-03-08 17:28:14.584210
CUST0813,43,Male,51552,Germany,Optometrist,001-940-220-4368x509,vanessa05@tapia.biz,2025-04-04 08:48:14.584225
CUST0814,42,Female,111245,Germany,IT technical support officer,(932)117-9015,torresmichael@evans-howard.com,2025-02-14 19:42:14.584241
CUST0815,39,Male,51055,France,Operational researcher,800-677-0101x7410,gellis@chen-wang.biz,2025-02-04 13:45:14.584260
CUST0816,44,Female,57685,France,Patent attorney,5048894134,rachelramirez@daniels.net,2025-01-22 04:03:14.584276
